1,携带,方便,外观,正面
1,_,真的不错,整体,正面
1,吃鸡,不卡,使用场景,正面
1,画质,清晰,硬件&性能,正面
1,网速,很快,硬件&性能,正面
2,包装,很好,包装,正面
2,物流速度,很棒,物流,正面
3,_,有点慢,硬件&性能,正面
3,_,没有想象中那么好,整体,正面
3,_,有点卡,硬件&性能,正面
3,_,挺好看的,外观,正面
4,玩这游戏,不卡,使用场景,正面
4,总体,还不错,整体,正面
5,运行,流畅,硬件&性能,正面
5,开机速度,快,硬件&性能,正面
5,_,五星好评,整体,正面
5,_,非常惊喜,整体,正面
5,外观,好看,外观,正面
6,价格,真心不错,价格,正面
6,按键,灵活,硬件&性能,正面
6,_,特别流畅,硬件&性能,正面
6,外观设计,有档次,外观,正面
6,包装,特别严实,包装,正面
7,_,很喜欢,整体,正面
7,学习,用得上,使用场景,正面
7,反应,挺快,硬件&性能,正面
8,_,非常好,整体,正面
8,包裹,很严实,包装,正面
8,_,太喜欢了,整体,正面
9,玩大游戏,一点不卡顿,使用场景,正面
9,_,非常满意,整体,正面
9,质量,很好,整体,正面
9,运行,流畅,硬件&性能,正面
9,开机,快,硬件&性能,正面
10,系统,挺流畅,软件&性能,正面
10,_,挺爽,使用场景,正面
10,_,很喜欢,整体,正面
10,_,满意的,整体,正面
10,外观,挺好看的,外观,正面
11,_,超薄,外观,正面
11,价格,低廉,价格,正面
11,运行速度,快,硬件&性能,正面
11,屏幕,很精致,硬件&性能,正面
11,声音,清晰,硬件&性能,正面
11,图像,细腻,硬件&性能,正面
12,_,不错,整体,正面
13,携带,方便,外观,正面
13,影像,清晰,硬件&性能,正面
13,显卡速度,快,硬件&性能,正面
13,外观材质做工,好,外观,正面
13,携带,很实用,外观,正面
13,包装,完好,包装,正面
13,质量,非常好,整体,正面
14,_,满意,整体,正面
14,画面,清晰,硬件&性能,正面
14,玩游戏,流畅,使用场景,正面
15,速度,不差,硬件&性能,正面
15,_,还算不错,整体,正面
15,_,良好,整体,正面
16,_,垃圾,整体,负面
16,_,垃圾,整体,负面
17,_,很不错,整体,正面
17,_,很好,整体,正面
18,_,很喜欢,整体,正面
18,_,很不错,整体,正面
19,_,很顺畅,硬件&性能,正面
19,包装,很严密,包装,正面
19,性价比,挺高的,价格,正面
20,_,挺新的,外观,正面
20,开机,也快,硬件&性能,正面
21,手感,超级好,外观,正面
21,_,有点卡,硬件&性能,负面
21,_,很漂亮,外观,正面
22,_,是正品,真伪,正面
22,_,很喜欢,整体,正面
23,_,好评,整体,正面
23,性能,非常棒,硬件&性能,正面
23,_,非常喜欢,整体,正面
23,打游戏,非常流畅,使用场景,正面
23,_,非常尊贵,外观,正面
24,_,真的卡,硬件&性能,负面
25,_,_,_,_
26,价格,合适,价格,正面
26,玩游戏,不卡机,使用场景,正面
26,外观,大气,外观,正面
27,画面,清晰,硬件&性能,正面
27,操作,流畅,使用场景,正面
27,_,满意,整体,正面
28,外观,凑合,外观,正面
28,配置,真的是太低,硬件&性能,负面
29,玩游戏,一点也不卡,使用场景,正面
29,价格,非常实惠,价格,正面
29,携带,方便,外观,正面
29,_,挺快的,硬件&性能,正面
29,外观,好看,外观,正面
29,大小,方便,外观,正面
29,上网,一点也不卡,使用场景,正面
30,性能,挺好的,硬件&性能,正面
30,外观,很新,外观,正面
30,性价比,高,价格,正面
30,价格,实惠,价格,正面
31,运行速度,很快,硬件&性能,正面
31,_,喜欢,外观,正面
31,游戏画面,很清晰,硬件&性能,正面
31,_,一点都不卡,硬件&性能,正面
31,做工,精细,外观,正面
32,_,太沉了,外观,负面
32,_,厚,外观,负面
33,屏幕,有亮点,硬件&性能,负面
